,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1026,1026,CHEMBL5176561,244.0,nM,CCC(=O)NNC(=O)c1csc2ncc(-c3ccc(C)cc3)n12,6.61261017366127,328.099396752,5,2,2.5422200000000004,True
1029,1029,CHEMBL3680377,247.12,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(F)CC1,6.607092104706606,487.158659128,6,2,5.103100000000005,True
1030,1030,CHEMBL2408047,250.0,nM,COCCNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,6.6020599913279625,517.189210308,8,2,3.780300000000002,True
1031,1031,CHEMBL4561606,250.0,nM,O=C(/C=C/CN1CCCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,6.6020599913279625,467.15243087600004,6,1,4.543300000000003,True
1032,1032,CHEMBL3114687,250.0,nM,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,6.6020599913279625,441.216475104,6,1,3.978100000000003,True
1033,1033,CHEMBL248877,250.0,nM,Nc1ncnc2c1c(-c1ccc3nc(Cc4cccs4)[nH]c3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1,6.6020599913279625,514.2263285800001,9,2,4.4200000000000035,True
1034,1034,CHEMBL394463,250.0,nM,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,6.6020599913279625,355.15454354400003,7,1,3.574320000000002,True
1037,1037,CHEMBL2408210,250.0,nM,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,6.6020599913279625,459.14734549600007,7,2,3.3736000000000006,True
1038,1038,CHEMBL291126,250.0,nM,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1O[C@H]3C[C@@H]1CO,6.6020599913279625,423.121906024,6,2,3.8256000000000028,True
1039,1039,CHEMBL395883,250.0,nM,COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1COC[C@@H]1CNCCO1,6.6020599913279625,517.223765976,10,2,3.523600000000002,True
1040,1040,CHEMBL5187375,250.0,nM,Cc1nn(-c2ccc(F)cc2)c2c(Nc3ccc(F)c(Cl)c3)ncnc12,6.6020599913279625,371.07492950400007,5,1,4.799120000000002,True
1041,1041,CHEMBL3114690,250.0,nM,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,6.6020599913279625,413.185174976,6,1,3.1979000000000024,True
1042,1042,CHEMBL4792279,254.0,nM,Cc1nn(-c2ccc(F)cc2)c2ncnc(Nc3ccc(F)c(Cl)c3)c12,6.5951662833800615,371.07492950399995,5,1,4.799120000000002,True
1043,1043,CHEMBL257814,255.0,nM,CO/N=C/c1c(N)ncnc1Nc1ccc2c(c1)CCN2Cc1cccc(F)c1,6.5934598195660445,392.17608751200004,7,2,3.4845000000000024,True
1047,1047,CHEMBL14932,263.0,nM,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,6.580044251510242,343.132076784,5,2,4.658000000000003,True
1048,1048,CHEMBL2408050,264.0,nM,CNC(=O)CN1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)CC1,6.578396073130168,473.16299556,7,2,3.763700000000002,True
1049,1049,CHEMBL4752700,268.0,nM,C=CC(=O)Nc1ccc2nccc(Oc3ccc(C(=O)Nc4cc(CC)ccn4)cc3)c2c1,6.571865205971211,438.169190564,5,2,5.361300000000003,True
1050,1050,CHEMBL503638,270.0,nM,CCOC(=O)N1CCN([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6OC)[nH]c5c4)c4c(N)ncnc43)CC2)CC1,6.568636235841012,609.3175861080001,10,2,4.809000000000003,True
1051,1051,CHEMBL3633940,275.0,nM,NC(=O)Nc1ccc(C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1,6.560667306169737,450.100729652,5,4,4.908800000000002,True
1053,1053,CHEMBL246491,280.0,nM,COC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,6.552841968657781,460.16591675200004,9,1,3.699600000000002,True
1054,1054,CHEMBL191635,280.0,nM,C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,6.552841968657781,465.01202913200007,7,1,3.5863000000000014,True
1056,1056,CHEMBL3981041,286.0,nM,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)ncnc2cc1OC,6.543633966870956,501.14707521599996,8,2,4.922200000000003,True
1057,1057,CHEMBL3633928,287.0,nM,NC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,6.542118103266008,437.10548068400004,5,3,5.235500000000003,True
1058,1058,CHEMBL3114688,290.0,nM,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,6.537602002101044,453.216475104,6,1,4.122200000000004,True
1059,1059,CHEMBL1358485,290.0,nM,CCN(CC)CC1CCN(c2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,6.537602002101044,443.200049764,7,1,4.5141000000000036,True
1060,1060,CHEMBL3936505,290.0,nM,CCOc1cc2ncnc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,6.537602002101044,601.2471236,9,3,4.315000000000003,True
1061,1061,CHEMBL3114686,290.0,nM,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,6.537602002101044,467.232125168,6,1,4.510700000000004,True
1062,1062,CHEMBL596964,295.4,nM,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,6.529589509024069,442.20163356399996,7,3,4.224300000000002,True
1063,1063,CHEMBL3133824,298.0,nM,O=S(=O)(c1ccc2[nH]c3nccc(Nc4cccc(O)c4)c3c2c1)N1CCOCC1,6.525783735923745,424.12052611999997,6,3,3.186200000000002,True
